"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.osutamistearv";24535;"Telefon";"osutamistearv"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.osutamistearv";123902;"Telefon";"osutamistearv"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.rahulolu";0;"Telefon";"rahulolu"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.rahulolu";NA;"Telefon";"rahulolu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.halduskulu";71944;"Telefon";"halduskulu"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.halduskulu";NA;"Telefon";"halduskulu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.ajakulu";0.07;"Telefon";"ajakulu"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.ajakulu";NA;"Telefon";"ajakulu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/vastuvott-maakondades";"Letiteenus.osutamistearv";1652;"Letiteenus";"osutamistearv"
"MA-038";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10744";"Letiteenus.osutamistearv";36000;"Letiteenus";"osutamistearv"
"MA-035";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10644";"Letiteenus.osutamistearv";61000;"Letiteenus";"osutamistearv"
"MA-037";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10742";"Letiteenus.osutamistearv";30000;"Letiteenus";"osutamistearv"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/vastuvott-maakondades";"Letiteenus.rahulolu";0;"Letiteenus";"rahulolu"
"MA-038";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10744";"Letiteenus.rahulolu";59;"Letiteenus";"rahulolu"
"MA-035";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10644";"Letiteenus.rahulolu";65;"Letiteenus";"rahulolu"
