"nimetus";"allasutus";"link";"variable";"value";"kanal";"naitaja"
"Raamatukogu";"Eesti Arhitektuurimuuseum";"http://arhitektuurimuuseum.ee/raamatukogu/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhitektuurimuuseumi kogude kasutamine";"Eesti Arhitektuurimuuseum";"http://arhitektuurimuuseum.ee/kogud/kogude-kasutamise-hinnakiri/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Näituste laenutamine";"Eesti Arhitektuurimuuseum";"http://www.arhitektuurimuuseum.ee/naitused/naitused-laenuks/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Näituste eksponeerimine";"Eesti Arhitektuurimuuseum";"http://www.arhitektuurimuuseum.ee/muuseum/teenused/naituste-eksponeerimine/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhivaalide kirjeldusinfoga veebis tutvumine";"Rahvusarhiiv";"www.ra.ee/vau";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhivaalide digikujutistega veebis tutvumine";"Rahvusarhiiv";"www.ra.ee/vau";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhivaalide baasil publikatsioonide avaldamine ja müük";"Rahvusarhiiv";"www.ra.ee/tuna";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kasutajatele ühisloomes osalemise võimaldamine";"Rahvusarhiiv";"www.ra.ee/vau";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Mittevastavast mõõtevahedist teavitamine läbi TJA kodulehe";"Tehnilise Järelevalve Amet";"http://www.tja.ee/poordu-ameti-poole";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Menetlustaotluste menetlemine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Tegevuseeskirjade kooskõlastamine ja kinnitamine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Raudteevõrgustiku teadaannete heakskiitmine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/raudteevorgustiku-teadaanded/";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Hüdrograafia Infosüsteem (HIS)";"Veeteede Amet";"http://195.80.112.238:8080/HIS/Avalik?REQUEST=Main";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"DVK universaalkliendi (UK) tarkvara allalaadimine";"Riigi Infosüsteemi Amet (RIA)";"https://svn.eesti.ee/projektid/dvk/client/";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"ID-kaardi veahalduskeskkond";"Riigi Infosüsteemi Amet (RIA)";"https://stash.ria.ee/projects/BAAS";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"RIHA kooskõlastamine";"Riigi Infosüsteemi Amet (RIA)";"https://riha.eesti.ee/riha/main";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Turuanalüüside küsimustikud";"Konkurentsiamet";"http://www.konkurentsiamet.ee/?id=10731";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Teabenõue Konkurentsiametile";"Konkurentsiamet";"http://www.konkurentsiamet.ee/?id=14157";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
